students_capped,price_clean,is_free,discount_rate_actual,source,students_log,price_log,has_discount
1331,12.0,False,99.52,Shaguf,7.194436851100335,2.5649493574615367,True
101,20.0,False,92.0,Shaguf,4.624972813284271,3.044522437723423,True
101,400.0,False,0.0,Shaguf,4.624972813284271,5.993961427306569,False
2,48.0,False,58.86,Shaguf,1.0986122886681096,3.8918202981106265,True
222,4.0,False,99.87,Shaguf,5.407171771460119,1.6094379124341003,True
212,10.0,False,88.46,Shaguf,5.3612921657094255,2.3978952727983707,True
1,4.0,False,92.0,Shaguf,0.6931471805599453,1.6094379124341003,True
2,5.0,False,84.85,Shaguf,1.0986122886681096,1.791759469228055,True
261,7.0,False,99.72,Shaguf,5.568344503761097,2.0794415416798357,True
501,100.0,False,49.75,Shaguf,6.218600119691729,4.61512051684126,True
101,400.0,False,0.0,Shaguf,4.624972813284271,5.993961427306569,False
1331,11.0,False,99.56,Shaguf,7.194436851100335,2.4849066497880004,True
220,100.0,False,49.75,Shaguf,5.3981627015177525,4.61512051684126,True
107,3.0,False,97.43,Shaguf,4.68213122712422,1.3862943611198906,True
336,12.0,False,99.57,Shaguf,5.820082930352362,2.5649493574615367,True
2,0.0,True,100.0,Shaguf,1.0986122886681096,0.0,True
331,6.0,False,97.43,Shaguf,5.805134968916488,1.9459101490553132,True
3,21.0,False,36.36,Shaguf,1.3862943611198906,3.091042453358316,True
1,2.0,False,99.9,Shaguf,0.6931471805599453,1.0986122886681096,True
1,27.0,False,64.0,Shaguf,0.6931471805599453,3.332204510175204,True
325,6.0,False,99.8,Shaguf,5.786897381366708,1.9459101490553132,True
321,7.0,False,91.18,Shaguf,5.7745515455444085,2.0794415416798357,True
3,11.0,False,96.33,Shaguf,1.3862943611198906,2.4849066497880004,True
214,20.0,False,92.81,Shaguf,5.3706380281276624,3.044522437723423,True
1,5.0,False,93.18,Shaguf,0.6931471805599453,1.791759469228055,True
101,0.0,True,100.0,Shaguf,4.624972813284271,0.0,True
1,13.0,False,99.48,Shaguf,0.6931471805599453,2.639057329615259,True
228,11.0,False,86.8,Shaguf,5.43372200355424,2.4849066497880004,True
211,11.0,False,88.21,Shaguf,5.356586274672012,2.4849066497880004,True
101,32.0,False,87.15,Shaguf,4.624972813284271,3.4965075614664802,True
221,10.0,False,95.45,Shaguf,5.402677381872279,2.3978952727983707,True
110,4.0,False,98.61,Shaguf,4.709530201312334,1.6094379124341003,True
107,30.0,False,84.92,Shaguf,4.68213122712422,3.4339872044851463,True
345,2.0,False,99.09,Shaguf,5.846438775057724,1.0986122886681096,True
101,4.0,False,99.6,Shaguf,4.624972813284271,1.6094379124341003,True
2,59.0,False,70.35,Shaguf,1.0986122886681096,4.0943445622221,True
105,10.0,False,93.33,Shaguf,4.663439094112067,2.3978952727983707,True
121,10.0,False,95.82,Shaguf,4.804021044733257,2.3978952727983707,True
